id,word
553,seafood
554,coffee & tea
554,cuban
554,cafes
555,vegan
555,vegetarian
555,soul food
556,imported food
556,bakeries
557,hot dogs
557,burgers
557,barbeque
558,tobacco shops
558,cigar bars
558,lounges
559,candy stores
559,ice cream & frozen yogurt
560,cocktail bars
560,seafood
560,mexican
562,sandwiches
562,breakfast & brunch
562,mexican
563,desserts
563,chocolatiers & shops
563,candy stores
564,american (traditional)
564,breakfast & brunch
565,gastropubs
566,american (traditional)
566,hot dogs
566,burgers
567,donuts
567,bagels
567,coffee & tea
568,american (traditional)
568,sports bars
569,ice cream & frozen yogurt
570,gay bars
570,lounges
571,karaoke
571,sushi bars
572,american (traditional)
572,breakfast & brunch
572,diners
573,sandwiches
573,burgers
573,pizza
574,fast food
574,street vendors
575,italian
576,creperies
576,cafes
577,american (traditional)
577,breakfast & brunch
577,bakeries
578,italian
578,pizza
579,mexican
579,american (traditional)
579,latin american
580,african
581,bakeries
581,custom cakes
581,cafes
582,sushi bars
582,ramen
582,bars
583,chinese
583,tacos
583,thai
584,cuban
584,coffee & tea
585,venues & event spaces
585,arcades
585,pizza
586,bookstores
586,coffee & tea
587,restaurants
588,burgers
588,bars
588,pizza
589,boxing
589,physical therapy
589,cafes
590,sandwiches
590,beer bar
590,coffee & tea
591,cocktail bars
592,italian
592,pizza
593,seafood
593,mexican
594,sandwiches
594,salad
594,breakfast & brunch
595,mexican
596,sandwiches
596,delis
597,sushi bars
597,japanese
597,seafood
598,szechuan
599,polish
600,italian
601,korean
602,beer bar
603,caribbean
604,american (traditional)
604,breakfast & brunch
604,diners
605,sandwiches
605,burgers
605,breakfast & brunch
606,mexican
607,desserts
608,fast food
609,casinos
609,cafes
610,sandwiches
610,delis
610,breakfast & brunch
611,mexican
612,american (traditional)
612,breakfast & brunch
613,bakeries
614,caribbean
614,fast food
615,karaoke
615,sports bars
616,hawaiian
617,cocktail bars
618,american (traditional)
618,seafood
619,sandwiches
619,juice bars & smoothies
619,pancakes
620,chicken wings
620,american (traditional)
620,sports bars
621,hot dogs
621,mexican
622,chinese
622,juice bars & smoothies
623,cocktail bars
623,sushi bars
623,japanese
624,mexican
625,mexican
626,donuts
626,coffee & tea
627,sushi bars
627,japanese
628,puerto rican
629,chinese
629,coffee & tea
630,cocktail bars
630,caribbean
630,latin american
631,american (new)
632,sports bars
632,pubs
633,chinese
634,mexican
635,chinese
635,fast food
636,sandwiches
636,halal
636,burgers
637,mexican
638,cocktail bars
638,mexican
639,salad
639,soup
639,thai
640,pizza
641,sandwiches
641,delis
641,fast food
642,himalayan/nepalese
643,modern european
643,coffee & tea
644,chinese
644,pan asian
644,asian fusion
645,breweries
645,pubs
645,pizza
646,coffee & tea
646,cafes
647,pakistani
647,indian
647,barbeque
648,chinese
648,japanese
648,thai
649,sandwiches
650,chinese
651,burgers
651,fast food
652,chinese
653,museums
654,colombian
654,seafood
